Frame, Time_def, Emg1, Emg2, Emg3, Emg4, AccX, AccY, AccZ
6324, 0.00499146, 0, 7, 3, -4, -0.240234, 0.0957031, 1.07861
6325, 0.00500942, -4, -10, 4, 1, -0.240234, 0.0957031, 1.07861
6326, 0.00504717, -4, -10, 4, 1, -0.240234, 0.0957031, 1.07861
6327, 0.00493428, -1, -4, -4, -5, -0.236816, 0.102539, 1.07812
6328, 0.00503727, -1, -4, -4, -5, -0.236816, 0.102539, 1.07812
6329, 0.00497386, -1, -4, -4, -5, -0.236816, 0.102539, 1.07812
6330, 0.00502774, -2, 0, 1, -1, -0.221191, 0.119141, 1.08545
6331, 0.00496543, -3, 11, 6, 0, -0.221191, 0.119141, 1.08545
6332, 0.00503324, -3, 11, 6, 0, -0.221191, 0.119141, 1.08545
6333, 0.0049702, 0, -6, -3, 1, -0.221191, 0.119141, 1.08545
6334, 0.00502921, 0, -6, -3, 1, -0.21582, 0.132812, 1.10791
6335, 0.00491522, 0, -6, -3, 1, -0.21582, 0.132812, 1.10791
6336, 0.00512598, -2, -5, 0, 0, -0.21582, 0.132812, 1.10791
6337, 0.00498633, 1, -6, -2, -2, -0.21582, 0.132812, 1.10791
6338, 0.00497643, 1, -6, -2, -2, -0.21582, 0.132812, 1.10791
6339, 0.00496104, 0, -7, -3, 0, -0.177246, 0.164062, 1.13477
6340, 0.00500465, 0, -7, -3, 0, -0.177246, 0.164062, 1.13477
6341, 0.00505157, 0, -7, -3, 0, -0.177246, 0.164062, 1.13477
6342, 0.00490862, -2, 9, -8, -6, -0.177246, 0.164062, 1.13477
6343, 0.00507466, 0, -4, 0, 0, -0.15625, 0.181641, 1.16357
6344, 0.00498596, 0, -4, 0, 0, -0.15625, 0.181641, 1.16357
6345, 0.00498083, 3, 6, -1, 2, -0.15625, 0.181641, 1.16357
6346, 0.00499806, 3, 6, -1, 2, -0.127441, 0.226074, 1.19385
6347, 0.00500832, 3, 6, -1, 2, -0.127441, 0.226074, 1.19385
6348, 0.00496397, 0, -1, -6, -11, -0.127441, 0.226074, 1.19385
6349, 0.00499549, 1, -5, 6, 1, -0.127441, 0.226074, 1.19385
6350, 0.0050556, 1, -5, 6, 1, -0.127441, 0.226074, 1.19385
6351, 0.00502261, -1, -16, 0, 2, -0.145996, 0.250977, 1.21338
6352, 0.00494124, -1, -16, 0, 2, -0.145996, 0.250977, 1.21338
6353, 0.00506073, -1, -16, 0, 2, -0.145996, 0.250977, 1.21338
6354, 0.00497643, -10, -28, -8, -6, -0.145996, 0.250977, 1.21338
6355, 0.00498889, 0, -8, 1, 2, -0.11377, 0.275879, 1.21777
6356, 0.0049746, 0, -8, 1, 2, -0.11377, 0.275879, 1.21777
6357, 0.00500465, 1, -16, 2, 2, -0.11377, 0.275879, 1.21777
6358, 0.00503288, 1, -16, 2, 2, -0.09375, 0.27832, 1.21631
6359, 0.00502958, 1, -16, 2, 2, -0.09375, 0.27832, 1.21631
6360, 0.0049658, 1, -11, 2, 7, -0.09375, 0.27832, 1.21631
6361, 0.00499696, 1, 0, -1, 1, -0.09375, 0.27832, 1.21631
6362, 0.00500942, 1, 0, -1, 1, -0.09375, 0.27832, 1.21631
6363, 0.0049691, 1, 43, -1, -9, -0.0859375, 0.317871, 1.21533
6364, 0.0050589, 1, 43, -1, -9, -0.0859375, 0.317871, 1.21533
6365, 0.00494124, 1, 43, -1, -9, -0.0859375, 0.317871, 1.21533
6366, 0.00501125, -5, 45, -7, -6, -0.0859375, 0.317871, 1.21533
6367, 0.00499329, -5, 45, -7, -6, -0.0859375, 0.317871, 1.21533
6368, 0.00491998, -5, 45, -7, -6, -0.0859375, 0.317871, 1.21533
6369, 0.00516739, 0, -11, 7, 2, -0.0795898, 0.33252, 1.2041
6370, 0.00485987, 0, -11, 7, 2, -0.0737305, 0.345703, 1.15625
6371, 0.00506916, 0, -11, 7, 2, -0.0737305, 0.345703, 1.15625
6372, 0.00493245, -2, -55, -3, 0, -0.0737305, 0.345703, 1.15625
6373, 0.00512414, 1, -34, -6, -3, -0.0737305, 0.345703, 1.15625
6374, 0.00494454, 1, -34, -6, -3, -0.0737305, 0.345703, 1.15625
